Team,Toss_Won,Format,Percentage,Total,Freq
AUS,Yes,ODI,0.419,43,18
ENG,Yes,ODI,0.8,25,20
IND,Yes,ODI,0.677,31,21
NZ,Yes,ODI,0.619,21,13
PAK,Yes,ODI,0.286,14,4
SA,Yes,ODI,0.576,33,19
SL,Yes,ODI,0.259,27,7
WI,Yes,ODI,0.217,23,5
AUS,No,ODI,0.44,25,11
ENG,No,ODI,0.682,44,30
IND,No,ODI,0.6,40,24
NZ,No,ODI,0.533,30,16
PAK,No,ODI,0.316,19,6
SA,No,ODI,0.739,23,17
SL,No,ODI,0.111,18,2
WI,No,ODI,0.222,18,4
AUS,Yes,T20I,0.529,17,9
ENG,Yes,T20I,0.333,12,4
IND,Yes,T20I,0.789,19,15
NZ,Yes,T20I,0.375,16,6
PAK,Yes,T20I,0.385,13,5
SA,Yes,T20I,0.235,17,4
SL,Yes,T20I,0.269,26,7
WI,Yes,T20I,0.357,14,5
AUS,No,T20I,0.75,16,12
ENG,No,T20I,0.632,19,12
IND,No,T20I,0.606,33,20
NZ,No,T20I,0.611,18,11
PAK,No,T20I,0.583,12,7
SA,No,T20I,0.846,13,11
SL,No,T20I,0.308,13,4
WI,No,T20I,0.2,10,2
AUS,Yes,Tests,0.158,19,3
ENG,Yes,Tests,0.382,34,13
IND,Yes,Tests,0,18,0
NZ,Yes,Tests,0.3,10,3
PAK,Yes,Tests,0.667,9,6
SA,Yes,Tests,0.158,19,3
SL,Yes,Tests,0.4,15,6
WI,Yes,Tests,0.563,16,9
AUS,No,Tests,0.5,22,11
ENG,No,Tests,0.474,19,9
IND,No,Tests,0.4,25,10
NZ,No,Tests,0.471,17,8
PAK,No,Tests,0.667,12,8
SA,No,Tests,0.7,20,14
SL,No,Tests,0.667,18,12
WI,No,Tests,0.714,7,5
